,Amps
226,0.0051656435732696515
227,0.0021875549435295127
228,0.0013931808149112435
229,0.0034049041733976715
230,0.003512393830245708
231,0.0019042495986618668
232,0.0028505797247631026
233,0.0034059966839882216
234,0.009665969106872008
235,0.009665969106872008
236,0.0019235709466680628
237,0.005608439118371611
238,0.0015651350602746694
239,0.007579807162942043
240,0.0019570162333470975
241,0.0018460313665509265
242,0.0054160638451672405
243,0.0054160638451672405
244,0.025624043943843544
245,0.46623937773548985
246,0.004676467079610558
247,0.0022606430698927094
248,0.004659837002430889
249,0.012766383342732723
250,0.0017626750242842881
251,0.026742107715461483
252,0.008550597673563809
253,0.01997780303932839
254,0.0019408017777463593
255,0.016205960956024668
256,0.002190755161026736
257,0.0031810662105467014
258,0.004187588089590855
259,0.00296454319973094
260,0.0029126965585246634
261,0.0029126965585246634
262,0.0016435259858642581
263,0.001458181637485234
264,0.003047566473177943
265,0.002921288187110793
266,0.014269089523784029
267,0.0014003326555832585
268,0.00939462660820134
269,0.020926168760343256
270,0.00523958134006719
271,0.0029151590334490773
272,0.003616404330535783
273,0.003524566860790168
274,0.0015502648437211164
275,0.004827576806736067
276,0.004827576806736067
277,0.001850192341197987
278,0.004654682120944553
279,0.020592475249407105
280,0.009746322479670333
281,0.005698255860162371
282,0.005303040629054845
283,0.0025416647945596393
284,0.0019744838922115537
285,0.0014335601670572018
286,0.003953919268884887
287,0.008904557969386828
288,0.0020326734614126707
289,0.010483794095750287
290,0.0014103206564857196
291,0.00593466676083243
292,0.004150276394933705
293,0.0029428060603879924
294,0.0019876196731356544
295,0.002196674439203017
296,0.001368754401176342
297,0.00176224330360919
298,0.004803438517680836
299,0.02544421233434735
300,0.005206884837212322
301,0.0021183021730099005
302,0.001627731498110796
303,0.008813192419530713
304,0.0036409443650771145
305,0.0015429743170474186
306,0.0021851077871044566
307,0.002263617748877955
308,0.0016558471058258917
309,0.002964677069346
310,0.00847474614088961
311,0.025120228779983322
312,0.004234022030853213
313,0.001999392715357984
314,0.005883889369677986
315,0.0014233828153060735
316,0.010121671721248893
317,0.0035260997089285873
318,0.08500236758080604
319,0.009780366608356017
320,0.0013523669829065277
321,0.0026014623111045854
322,0.01207193995956235
323,0.004674741584326347
324,0.005674675410466845
325,0.0011780306727822154
326,0.0011780306727822154
327,0.0014740307986558232
328,0.005769108190882166
329,0.004355731963938014
330,0.0023308625843179165
331,0.015820200572793985
332,0.004306579371435193
333,0.0011797569981675249
334,0.0028029386609804696
335,0.009068644527247649
336,0.11916262613899997
337,0.002611275314123751
338,0.00936678649521605
339,0.011639318464615966
340,0.004812108982233165
341,0.02158115900079538
342,0.044331676719987834
343,0.03810212768691801
344,0.005453774872533179
345,0.0014698786495965788
346,0.0016940826796134623
347,0.004948187773102353
348,0.005781970348661125
349,0.0027079610438560664
350,0.0035349811863699676
351,0.020079317451008882
352,0.0329992775049025
353,0.0014579768446104646
354,0.0014579768446104646
355,0.003094804875136359
356,0.003094804875136359
357,0.006626779250251014
358,0.015422591383556727
359,0.00507887010532504
360,0.0014997995503418515
361,0.009869647059700837
362,0.01102073578819951
363,0.02442487056482534
364,0.0022036248829727656
365,0.009811038291875018
366,0.0032940502444209763
367,0.0030313198029947586
368,0.001336115457142406
369,0.004612526226869917
370,0.00795554909881635
371,0.00780599447533159
372,0.002974601531523069
373,0.005538827786537581
374,0.0019297723293465463
375,0.005908316762661903
376,0.010579537786655546
377,0.010579537786655546
378,0.009438700330430372
379,0.003451134319420013
380,0.037474099612539336
381,0.008641032737476517
382,0.004026296034151611
383,0.0148966565017713
384,0.0027794072054743157
385,0.0017838396717826388
386,0.006862534853868674
387,0.0037090282169180977
388,0.0039009013134856385
389,0.007832115814152774
390,0.016806497109731255
391,0.00583126732907624
392,0.036262136655354826
393,0.036262136655354826
394,0.003850483836430385
395,0.0032735253532171216
396,0.00241394655459648
397,0.008645594376630816
398,0.0025408800325715797
399,0.00280409894111322
400,0.00126229268856759
401,0.0025756024085468177
402,0.001603953878871911
403,0.0020261205182943165
404,0.002030099267604002
405,0.005315080077952006
406,0.0019156261068243863
407,0.001385614422101611
408,0.004406628951954761
409,0.009813074937314425
410,0.0033235213968155763
411,0.0055466402939645665
412,0.0037751378141283043
413,0.0037751378141283043
414,0.003611988007029776
415,0.021528995477117396
416,0.046972765121299
417,0.015666427719879694
418,0.01440800571148293
419,0.0015204478203983962
420,0.0014552041078695899
421,0.001958278816463266
422,0.002158190426125195
423,0.014503110372663053
424,0.0034865695491401727
425,0.0037703705255195397
426,0.002511046638589476
427,0.0046231512867819236
428,0.0044082828146587705
429,0.010466505345252841
430,0.005324636471260247
431,0.003535777135720397
432,0.0015809052988449146
433,0.00566370178468012
434,0.0029457095451048687
435,0.0023777894479384276
436,0.0035750926568801633
437,0.002027370296009634
438,0.002027370296009634
439,0.00170994973932459
440,0.0033847614793257597
441,0.0020050962234874348
442,0.0018453999510588126
443,0.0012702990088904187
444,0.006394639914243383
445,0.005749043596849135
446,0.005749043596849135
447,0.0026458899492896037
448,0.004898450058241854
449,0.00926081114068622
450,0.004232948560763949
451,0.0024195967496970505
452,0.0028972795753716696
453,0.0028737120372488434
454,0.056083959193505395
455,0.006511433421341639
456,0.002292405940284792
457,0.004890555074439806
458,0.0018312378180074251
459,0.002516651133878778
460,0.0023546174713875434
461,0.005366502635764103
462,0.001810151861072029
463,0.0028145766294990215
464,0.006343704374875636
465,0.005752280852626801
466,0.0022742870246388325
467,0.004259951166594833
468,0.0019163123207800448
469,0.004036335225232834
470,0.001659267589765423
471,0.006262001163842124
472,0.00424262542915721
473,0.00834071280232429
474,0.00834071280232429
475,0.004603005497148427
476,0.0015983806354460395
477,0.00934780625365672
478,0.00824036285048213
479,0.001570354492423931
480,0.003650570454136859
481,0.0016415591150837905
482,0.006390128043544774
483,0.021216278608919947
484,0.006417182119523024
485,0.001601720483070057
486,0.001971176443909095
487,0.0038330388050955566
488,0.009205375288265483
489,0.00840251208876519
490,0.0033388430234836397
491,0.0016225631255327722
492,0.005936520759499575
493,0.006465823211044164
494,0.0014651498984806777
495,0.0020826005200001996
496,0.002006755489496803
497,0.002549631412324227
498,0.018442070431466062
499,0.001970896135139899
500,0.07340953474073442
501,0.008938178597913793
502,0.0016307266403685627
503,0.0018843812856336184
504,0.0023301992868808297
505,0.0034595307089307914
506,0.02142029159004244
